dim_log_type,dim_log_type_description,dim_log_type_description_full
seccft,Success Exchange,Successful exchange of Access Token for a Client Credentials Grant
secte,Success Exchange,Succesful Exchange via Custom Token Exchange
sede,Success Exchange,Successful exchange of device code for Access Token
sens,Success Exchange,Native Social Login
seoobft,Success Exchange,Successful exchange of Password and OOB Challenge for Access Token
seotpft,Success Exchange,Successful exchange of Password and OTP Challenge for Access Token
sepft,Success Exchange,Successful exchange of Password for Access Token
sepkoobft,Success Exchange,Successful exchange of Passkey and OOB Challenge for Access Token
sepkotpft,Success Exchange,Successful exchange of Passkey and OTP Challenge for Access Token
sepkrcft,Success Exchange,Successful exchange of Passkey and MFA Recovery Code for Access Token
sercft,Success Exchange,Successful exchange of Password and MFA Recovery code for Access Token
sertft,Success Exchange,Successful exchange of Refresh Token for Access Token
si,Successfully accepted a user invite,Successfully accepted a user invitation
signup_pwd_leak,Breached Password on Signup,Someone behind the IP address ip attempted to signup with a leaked password.
slo,Success Logout,User successfully logged out
ss,Success Signup,
ss_sso_failure,Failed SS-SSO Operation,Self-Service operation failed
ss_sso_info,Information from an SS-SSO Operation,Try-connection flow started/completed
ss_sso_success,Success SS-SSO Operation,Self-Service operation completed successfully
ssa,Success Silent Auth,
sscim,Successful SCIM Operation,SCIM operation succeeded
sui,Successfully imported users,Successfully imported users
sv,Success Verification Email,Successfully consumed email verification link
svr,Success Verification Email Request,Successfully called verification email endpoint. Verification email in queue to send.
too_many_records,Max Amount of Authenticators,User has created the maximum amount of authenticators
ublkdu,User login block released,User block setup by anomaly detection has been released
universal_logout_failed,Failed Universal Logout request,Failed Universal Logout request
universal_logout_succeeded,Successful Universal Logout request,Successful Universal Logout request
w,Warning During Login,Filters for logs of type warning during login
wn,Warning Sending Notification,Warnings that have occurred during notification sending.
wum,Warning User Management,Filters for logs of type warning during user management operations
